Process_ID,Arrival_Time,CPU_Burst_Time,Priority
P001,0,1,high
P002,2,2,normal
P003,4,3,low
P004,6,4,high
P005,8,5,normal
P006,10,6,low
P007,12,7,high
P008,14,8,normal
P009,16,9,low
P010,18,10,high
P011,20,11,normal
P012,22,12,low
P013,24,13,high
P014,26,14,normal
P015,28,15,low
P016,30,16,high
P017,32,17,normal
P018,34,18,low
P019,36,19,high
P020,38,20,normal
P021,40,1,low
P022,42,2,high
P023,44,3,normal
P024,46,4,low
P025,48,5,high
P026,50,6,normal
P027,52,7,low
P028,54,8,high
P029,56,9,normal
P030,58,10,low
P031,60,11,high
P032,62,12,normal
P033,64,13,low
P034,66,14,high
P035,68,15,normal
P036,70,16,low
P037,72,17,high
P038,74,18,normal
P039,76,19,low
P040,78,20,high
P041,80,1,normal
P042,82,2,low
P043,84,3,high
P044,86,4,normal
P045,88,5,low
P046,90,6,high
P047,92,7,normal
P048,94,8,low
P049,96,9,high
P050,98,10,normal
